Symbol,Annual_Return,Volatility,Sharpe_Ratio,Total_Return,Sector,Sector_Code
BK,0.4734904249455856,0.2084315839546874,2.079773212488879,1.4446440458577614,Financial,XLF
GEV,1.0753266632010459,0.5289854241434682,1.9571931776332856,3.8214493975022004,Industrial,XLI
HWM,0.7056175046673412,0.3411553235776802,1.9510687908576099,2.606324058055882,Industrial,XLI
GLW,0.6199427780189906,0.31211456733948634,1.8581086520969334,2.097818765838569,Technology,XLK
GE,0.5988116059548511,0.30295606064951297,1.8445302092877915,1.9851521171660163,Industrial,XLI
APH,0.611765795653173,0.31480292821991274,1.8162658107606706,2.0389343312830768,Technology,XLK
WDC,0.891475555077312,0.4697644673110494,1.8125584507299841,3.6865569010155053,Technology,XLK
TPR,0.7295116092282926,0.3941626129215622,1.749307485348704,2.63028115514187,Consumer Discretionary,XLY
RTX,0.42362098695590744,0.23051450587545036,1.664194561201204,1.1935842432667343,Industrial,XLI
STX,0.7457525066710651,0.428726488841024,1.646160256108563,2.6506813164548766,Technology,XLK
GS,0.513376102312998,0.2879510951017617,1.6439461782415075,1.5457442579157927,Financial,XLF
AVGO,0.868104195737704,0.5307240808566093,1.5603290402823096,3.2374192449504813,Technology,XLK
RL,0.6016066795329771,0.3640037566084307,1.5428595703673287,1.8863308748784453,Consumer Discretionary,XLY
CAT,0.4839407895399388,0.2912229020848277,1.5244020520426902,1.3972976618290613,Industrial,XLI
CMI,0.46207814760508237,0.2787136360274333,1.5143792518409036,1.3119449487538661,Industrial,XLI
C,0.47925212592397975,0.29015618522602077,1.5138471908907227,1.3740378477133404,Financial,XLF
NVDA,0.810294999109122,0.5105607030133963,1.5087236337672283,2.8418646751422623,Technology,XLK
JPM,0.39782841864884855,0.23796675820115226,1.5036907732565645,1.077916397489286,Financial,XLF
TJX,0.30260475357833116,0.17642646856265576,1.4884657371298584,0.7651451347428104,Consumer Discretionary,XLY
AXP,0.4487502557666176,0.28070700022860406,1.456145573262287,1.2491355130747008,Financial,XLF
MS,0.45908517913358715,0.28808234904434854,1.4547409118393142,1.285632343794087,Financial,XLF
JCI,0.4182839069575692,0.28645722570862897,1.3205598358420956,1.1108352559778245,Industrial,XLI
BSX,0.3109461666797622,0.2052615971861638,1.3200041819514112,0.7747041908839774,Healthcare,XLV
IBM,0.3915494284618259,0.2696004864030034,1.303964370213798,1.0209683989920166,Technology,XLK
CAH,0.3612782393780074,0.24877776212921243,1.2914266798940777,0.9245736254639059,Healthcare,XLV
GM,0.4798190152753727,0.34460378194915064,1.2763035065595185,1.3003263441025825,Consumer Discretionary,XLY
SYF,0.5019493232154597,0.3653980419177984,1.264235902280456,1.3695182955848018,Financial,XLF
PH,0.40399728749788544,0.2902726329204996,1.2539841728640595,1.0481250985500528,Industrial,XLI
COR,0.2917259804391042,0.2009093119190391,1.2529333659782917,0.711629026391895,Healthcare,XLV
PWR,0.4906404082024877,0.36087998521331444,1.248726520358607,1.3179213994520076,Industrial,XLI
MU,0.7481816872415716,0.5682006624296844,1.2463584329756217,2.191536207213514,Technology,XLK
HCA,0.3636444803576381,0.25975146788509945,1.2459774837569026,0.920457407447661,Healthcare,XLV
WFC,0.4035760327632219,0.29218559225103174,1.2443325146944788,1.043555782806337,Financial,XLF
HIG,0.2930088959240024,0.20713457986033226,1.2214710653074081,0.7114571647633261,Financial,XLF
CSCO,0.292037673464226,0.20961622953732698,1.20237671491627,0.7069883876937688,Technology,XLK
EBAY,0.4176423620028988,0.31884436356540236,1.1844097156995395,1.0672411793296717,Consumer Discretionary,XLY
BAC,0.33702414463212615,0.25309530551991566,1.1735663923989843,0.8283012611475908,Financial,XLF
MMM,0.4096306966233524,0.31750067004772803,1.1641887135790547,1.042778804918914,Industrial,XLI
CFG,0.41026759011000036,0.32239604627139207,1.14848675842107,1.0326969270894937,Financial,XLF
STT,0.3239130183459956,0.24790019901779037,1.1452714417773453,0.7861433689559383,Financial,XLF
MCK,0.32261568088962567,0.24707261353077567,1.1438567668464912,0.7817647115387898,Healthcare,XLV
KLAC,0.5170744182048211,0.4316118070847033,1.1053321766779096,1.3122387973674194,Technology,XLK
UAL,0.6040006322534848,0.5136642990501868,1.0979946110648033,1.5616303105016343,Industrial,XLI
COF,0.40901037093450987,0.3367505989650419,1.0957972222428531,1.0109734732462794,Financial,XLF
RCL,0.469041782810628,0.39533363750147155,1.0852650574390625,1.1689734533337246,Consumer Discretionary,XLY
LDOS,0.31936556750571715,0.25825977815893486,1.0817230987234632,0.7603564814195725,Industrial,XLI
LRCX,0.5275052606271978,0.45862992070620784,1.0629600002470994,1.30703255257448,Technology,XLK
TT,0.3149457627244705,0.2590283096597703,1.0614506309584752,0.7454531702711658,Industrial,XLI
NTRS,0.3209015072994725,0.26524264711029083,1.0590359821837796,0.7608245451456737,Financial,XLF
CINF,0.2830390696327703,0.2312296302987258,1.0510723444862489,0.6604872998357452,Financial,XLF
ORLY,0.24730841392336464,0.2002024783816407,1.0354937441292713,0.5682221858314709,Consumer Discretionary,XLY
AXON,0.5426216693071961,0.4889437681862747,1.0279743848084193,1.3307809494300118,Industrial,XLI
INCY,0.37000509784505675,0.32574488078832164,1.013078385288589,0.8742229472239069,Healthcare,XLV
L,0.22196802657197115,0.18016536463839486,1.0100055964540928,0.502469737273376,Financial,XLF
ISRG,0.3614645779044511,0.31865919614479926,1.0088037056315708,0.8534243990985708,Healthcare,XLV
TRMB,0.3362295962769276,0.3016521215901396,0.9820239112371314,0.78081010502699,Technology,XLK
