Sector_Code,Annual_Return,Volatility,Sharpe_Ratio,Total_Return
XLF,0.2182,0.2648,0.6755,0.4909
XLI,0.202,0.2802,0.5421,0.4774
XLK,0.2548,0.3875,0.5274,0.5951
XLV,0.0941,0.3301,0.2388,0.1472
XLY,0.1688,0.3333,0.4193,0.3506
